0, 0.168627, 0.211765, base03
0.027451, 0.211765, 0.258824, base02
0.345098, 0.431373, 0.458824, base01
0.396078, 0.482353, 0.513726, base00
0.513726, 0.580392, 0.588235, base0
0.576471, 0.631373, 0.631373, base1
0.933333, 0.909804, 0.835294, base2
0.992157, 0.964706, 0.890196, base3
0.709804, 0.537255, 0, yellow
0.796078, 0.294118, 0.0862745, orange
0.862745, 0.196078, 0.184314, red
0.827451, 0.211765, 0.509804, magenta
0.423529, 0.443137, 0.768627, violet
0.14902, 0.545098, 0.823529, blue
0.164706, 0.631373, 0.596078, cyan
0.521569, 0.6, 0, green
